Unnamed: 0,Category,Title,Webindex,Company,Description,StemmedTitle,StemmedDescription
44.0,Healthcare_Nursing,Prescription Services Administration Clerk,62011450,Alliance Healthcare,"Alliance Healthcare is a leading distributor and wholesaler of pharmaceutical, medical and healthcare products, serving over **** pharmacies, hospitals and dispensing doctors throughout the UK on a twice daily basis. We play a vital role in the medical supply chain and it's our responsibility to offer a reliable service that ensures our customers receive the right product, in the right place, at the right time. About the job: This is a busy and varied role providing?clerical support to the Prescription Services Team, working accurately and within agreed time scales. The hours of work are Monday to Friday **** a.m. to 5.00 pm with an annual salary of **** About You: You will need great customer service skills and attention to detail along with?excellent Microsoft Excel knowledge/experience. This role would suit a school leaver who has achieved high grades in ICT. You will have previous experience as a Customer Services Assistant, Admin Assistant, or Customer Services Administrator.",prescript servic administr clerk,"allianc healthcar is a lead distributor and wholesal of pharmaceut , medic and healthcar product , serv over * * * * pharmaci , hospit and dispens doctor throughout the uk on a twice daili basi . we play a vital role in the medic suppli chain and it 's our respons to offer a reliabl servic that ensur our custom receiv the right product , in the right place , at the right time . about the job : thi is a busi and vari role provid ? cleric support to the prescript servic team , work accur and within agre time scale . the hour of work are monday to friday * * * * a.m. to 5.00 pm with an annual salari of * * * * about you : you will need great custom servic skill and attent to detail along with ? excel microsoft excel knowledge/experi . thi role would suit a school leaver who ha achiev high grade in ict . you will have previou experi as a custom servic assist , admin assist , or custom servic administr ."
45.0,Healthcare_Nursing,Care Home Manager  Cambridge,71805339,Populus Healthcare,"Would you like to make a real difference to the lives of adults affected by learning disabilities?Do you have home management experience?Would you like the chance to work for a well respected, charitable organisation?On behalf of a fantastic charitable organisation I am looking for a Manager for one of their excellent services in the Cambridge areaMy client is a leading provider of care and support to adults with disabilities and they now have a vacancy for a Manager to manage one of their excellent residential homes in Cambridgeshire. The home offers support to **** young adults with learning disabilities and complex care needs. They promote a quality lifestyle for each individual through an organised programme of social, educational, recreational and leisure activities.The role of Home Manager will include managing rota's, budgets, liaising with social services, healthcare profressionals, families, ensuring residents lead a quality lifestyle, ensuring the home run in accordance with the organisations policies and procedures. The ideal person will be an experienced home manager, be able to demonstrate a working knowledge of the needs of young adults with learning disabilities and complex needs and will hold a recognised qualification in care management. On a personal level you have excellent people management skills, be highly organised and possess excellent communication skills both written and verbal. In return for your hard work and commitment my client is offering a competitive salary that is negotiable depending on experience, pension scheme, commitment to learning and career development, childcare support scheme. If you would like to be considered for this excellent opportunity you will need to email your CV quoting reference number 'J****NF' to n.finniganpopulusconsultants.com or call **** **** **** and ask for Nichola.",care home manag cambridg,"would you like to make a real differ to the live of adult affect by learn disabl ? do you have home manag experi ? would you like the chanc to work for a well respect , charit organis ? on behalf of a fantast charit organis i am look for a manag for one of their excel servic in the cambridg areami client is a lead provid of care and support to adult with disabl and they now have a vacanc for a manag to manag one of their excel residenti home in cambridgeshir . the home offer support to * * * * young adult with learn disabl and complex care need . they promot a qualiti lifestyl for each individu through an organis programm of social , educ , recreat and leisur activities.th role of home manag will includ manag rota 's , budget , liais with social servic , healthcar profression , famili , ensur resid lead a qualiti lifestyl , ensur the home run in accord with the organis polici and procedur . the ideal person will be an experienc home manag , be abl to demonstr a work knowledg of the need of young adult with learn disabl and complex need and will hold a recognis qualif in care manag . on a person level you have excel peopl manag skill , be highli organis and possess excel commun skill both written and verbal . in return for your hard work and commit my client is offer a competit salari that is negoti depend on experi , pension scheme , commit to learn and career develop , childcar support scheme . if you would like to be consid for thi excel opportun you will need to email your cv quot refer number ' j * * * * nf ' to n.finniganpopulusconsultants.com or call * * * * * * * * * * * * and ask for nichola ."
46.0,Healthcare_Nursing,Consultant Psychiatrist in Addictions East Ayrshire,68718213,NHS Ayrshire and Arran,Applications are invited for the above post. It comes at a time of significant investment for Mental Health Service in general and Addiction Services in particular. You will join the two existing consultants (WTE ****) in the specialty and work as part of well developed multi disciplinary and multi agency community services which together provide an extremely comprehensive menu of addiction services. The post will be based at Crosshouse Hospital and cover the community services in the East Locality (Kilmarnock and Cumnock). This role encompasses primarily community based clinical work as well as RMO responsibility for the detoxification beds based at Crosshouse Hospital. The service is designated to provide an appropriate assessment and treatment function with an emphasis on individuals considered to have serious addition and/or mental health problems in terms of both acute and long term clinical management. An active academic programme which has full accreditation with the Royal College of Psychiatrists is in place. There are excellent opportunities for research and linkage to academic departments and the development of special interests is strongly encouraged. You must hold MRCPsych or equivalent and be fully registered with the GMC with a current Licence to Practice. Applicants must also have Section **** of the Mental Health (Care and Treatment) Scotland Act **** approval or demonstrate a willingness to gain approval following appointment. The Terms and Conditions of service are those determined by the Terms and Conditions of the New Consultant Contract (Scotland) **** and are offered on a **** Programmed Activity basis. Opportunities may exist for Extra Programmed Activities and further SPAs subject to service requirements. Applicants will be appropriately experienced hold Full GMC Registration including a Licence to Practice and must if not already entered be eligible for inclusion in the GMC Specialist Register. Those training in the UK who have not completed specialty training are eligible to apply if they have evidence of Higher Specialist Training in General Psychiatry with endorsement in Substance Misuse and the expected CCT/CCST award date is within 6 months of the date of interview. Non UK applicants are required to demonstrate equivalent training. Membership of the Protection of Vulnerable Groups (PVG) Scheme is a condition of this post and the successful applicant will require to join the scheme prior to appointment. Further information on scheme membership is included within the application pack and can also be found at www.disclosurescotland.co.uk. For further information or to arrange an informal visit please contact Dr. John Taylor Associate Medical Director (telephone **** ****). Applications in the form of a current CV with supporting documentary evidence of your entry onto the Specialist Register/CCT date/or equivalent training experience: along with the names and addresses (postal and email) of **** referees should be submitted to: medicalrecruitmentaapct.scot.nhs.uk no later than 25 January 2013. Please Quote Ref No: MD/****/**** Job Packs including job description are available for download at www.jobs.scot.nhs.uk. Details of all our Medical Posts can be found at www.medicaljobs.scot.nhs.uk You can also obtain further information about the organisation at www.nhsaaa.net.uk We are in the process of amending the online application form. Please note that the current online application form requests that you supply information regarding sickness absence. Please do not complete this section as this information does not form part of the initial selection process. Employer details: For further information please refer to the website below,consult psychiatrist in addict east ayrshir,applic are invit for the abov post . it come at a time of signific invest for mental health servic in gener and addict servic in particular . you will join the two exist consult ( wte * * * * ) in the specialti and work as part of well develop multi disciplinari and multi agenc commun servic which togeth provid an extrem comprehens menu of addict servic . the post will be base at crosshous hospit and cover the commun servic in the east local ( kilmarnock and cumnock ) . thi role encompass primarili commun base clinic work as well as rmo respons for the detoxif bed base at crosshous hospit . the servic is design to provid an appropri assess and treatment function with an emphasi on individu consid to have seriou addit and/or mental health problem in term of both acut and long term clinic manag . an activ academ programm which ha full accredit with the royal colleg of psychiatrist is in place . there are excel opportun for research and linkag to academ depart and the develop of special interest is strongli encourag . you must hold mrcpsych or equival and be fulli regist with the gmc with a current licenc to practic . applic must also have section * * * * of the mental health ( care and treatment ) scotland act * * * * approv or demonstr a willing to gain approv follow appoint . the term and condit of servic are those determin by the term and condit of the new consult contract ( scotland ) * * * * and are offer on a * * * * program activ basi . opportun may exist for extra program activ and further spa subject to servic requir . applic will be appropri experienc hold full gmc registr includ a licenc to practic and must if not alreadi enter be elig for inclus in the gmc specialist regist . those train in the uk who have not complet specialti train are elig to appli if they have evid of higher specialist train in gener psychiatri with endors in substanc misus and the expect cct/ccst award date is within 6 month of the date of interview . non uk applic are requir to demonstr equival train . membership of the protect of vulner group ( pvg ) scheme is a condit of thi post and the success applic will requir to join the scheme prior to appoint . further inform on scheme membership is includ within the applic pack and can also be found at www.disclosurescotland.co.uk . for further inform or to arrang an inform visit pleas contact dr. john taylor associ medic director ( telephon * * * * * * * * ) . applic in the form of a current cv with support documentari evid of your entri onto the specialist register/cct date/or equival train experi : along with the name and address ( postal and email ) of * * * * refere should be submit to : medicalrecruitmentaapct.scot.nhs.uk no later than 25 januari 2013 . pleas quot ref no : md/ * * * * / * * * * job pack includ job descript are avail for download at www.jobs.scot.nhs.uk . detail of all our medic post can be found at www.medicaljobs.scot.nhs.uk you can also obtain further inform about the organis at www.nhsaaa.net.uk we are in the process of amend the onlin applic form . pleas note that the current onlin applic form request that you suppli inform regard sick absenc . pleas do not complet thi section as thi inform doe not form part of the initi select process . employ detail : for further inform pleas refer to the websit below
47.0,Healthcare_Nursing,Paediatric Healthcare Assistant Noth West London,71204423,,,paediatr healthcar assist noth west london,
48.0,Healthcare_Nursing,Clinical Operations Manager,50882000,,,clinic oper manag,
49.0,Healthcare_Nursing,Mobile Optometrist  Oxford,71402732,Zest Optical,"A mobile Super Optometrist is required to join one of the UK s leading providers of domiciliary eye care to cover the Oxford area. The company provide eye health care needs to those patients who are unable to access high street optical services, and believe that everyone should have the right to an eye examination. As the role is a mobile Optometrist you will be based at home and travel to appointments within a **** mile radius. You will travel to around **** or **** patients houses a day , and using the latest in portable diagnostic equipment, carry out a thorough eye test, whilst also offering an excellent dispensing and aftercare service. The patients are generally those that unable to travel to an opticians due to illness or disability and as such should be treated with care and respect. This position would suit either a newly qualified Optometrist as training will be provided, but also experienced Optoms. The candidate needs to be honest, trustworthy and dependable whilst also ensuring that they maintain an excellent level of eye health care. This is an excellent opportunity with a very competitive salary of between **** and **** OTE , as they have an excellent bonus scheme in place. The working days are flexible and you can choose to work either **** or 5 days a week , and you will never have to work a weekend . As you will be required to drive around, a company car is also provided (with sat nav), alongside a mobile and laptop to help you attend to your appointments efficiently. This is a great company to work for, with support always available, and training provided when needed. If this opportunity is of interest to you, please email a copy of your CV or alternatively call **** for more information.",mobil optometrist oxford,"a mobil super optometrist is requir to join one of the uk s lead provid of domiciliari eye care to cover the oxford area . the compani provid eye health care need to those patient who are unabl to access high street optic servic , and believ that everyon should have the right to an eye examin . as the role is a mobil optometrist you will be base at home and travel to appoint within a * * * * mile radiu . you will travel to around * * * * or * * * * patient hous a day , and use the latest in portabl diagnost equip , carri out a thorough eye test , whilst also offer an excel dispens and aftercar servic . the patient are gener those that unabl to travel to an optician due to ill or disabl and as such should be treat with care and respect . thi posit would suit either a newli qualifi optometrist as train will be provid , but also experienc optom . the candid need to be honest , trustworthi and depend whilst also ensur that they maintain an excel level of eye health care . thi is an excel opportun with a veri competit salari of between * * * * and * * * * ote , as they have an excel bonu scheme in place . the work day are flexibl and you can choos to work either * * * * or 5 day a week , and you will never have to work a weekend . as you will be requir to drive around , a compani car is also provid ( with sat nav ) , alongsid a mobil and laptop to help you attend to your appoint effici . thi is a great compani to work for , with support alway avail , and train provid when need . if thi opportun is of interest to you , pleas email a copi of your cv or altern call * * * * for more inform ."
50.0,Healthcare_Nursing,Social Workers,69192492,,,social worker,
51.0,Healthcare_Nursing,Senior Staff Nurse,69587191,Oxford University Hospitals NHS Trust,"THE CHURCHILL HOSPITAL Senior Staff Nurse Job Ref: ****NG**** Salary: Band 6 ****  **** pa Hours f/t **** pw Interventional Radiology is a rapidly expanding speciality and involves working as part of a multi disciplinary team. We are looking for an enthusiastic, motivated and dedicated nurse who has excellent communication skills and will give a high standard of quality patient care. Our ideal candidate will have relevant post registration experience which could include either radiology, cardiac angiography, recovery or theatres experience along with some leadership skills. The post requires the successful candidate to commit to an on call rota for emergency and out of hours work. If you require any further information or an informal visit please contact Karen Doig, Radiology Sister on **** **** Closing Date: 15 February 2013 To apply and find out more visit: www.ouh.nhs.uk/workingforus then click on NHS Jobs website Some posts will be subject to criminal records bureau checks. Equality of opportunity is assured and we are committed to improving your working life. Our no smoking policy advances a healthier environment",senior staff nurs,"the churchil hospit senior staff nurs job ref : * * * * ng * * * * salari : band 6 * * * * * * * * pa hour f/t * * * * pw intervent radiolog is a rapidli expand special and involv work as part of a multi disciplinari team . we are look for an enthusiast , motiv and dedic nurs who ha excel commun skill and will give a high standard of qualiti patient care . our ideal candid will have relev post registr experi which could includ either radiolog , cardiac angiographi , recoveri or theatr experi along with some leadership skill . the post requir the success candid to commit to an on call rota for emerg and out of hour work . if you requir ani further inform or an inform visit pleas contact karen doig , radiolog sister on * * * * * * * * close date : 15 februari 2013 to appli and find out more visit : www.ouh.nhs.uk/workingforu then click on nh job websit some post will be subject to crimin record bureau check . equal of opportun is assur and we are commit to improv your work life . our no smoke polici advanc a healthier environ"
52.0,Healthcare_Nursing,Livein Care Assistant Job London,55400426,,,livein care assist job london,
53.0,Healthcare_Nursing,RGN Staff Nurse  Southampton,70474220,Eclypse Recruitment,"Registered General Nurses for Acquired Brain Injury Service Southampton, Hampshire **** per hour  ****6 hours per week Day Shifts Eclypse Recruitment is currently looking to recruit a full time RGN for a small Acquired Brain Injury Nursing Home in Southampton, Hampshire. The nursing home caters for a range of related ABI conditions and the service promotes a real multidisciplinary approach employing Staff Nurses, Physiotherapists & specialist therapist & carers to really enhance the level of care in the service. We are looking for a full time Registered General Nurse to join the service to work full time on days shifts. You will be working long shifts and we need a nurse to work 3 long days a week. We are looking for a Staff Nurse who has the following skills and experiences: •A minimum of 12 months post registered experience •A desire to work with adults who suffer from Acquired Brain Injuries •Ideally some previous experience working with ABI, although this is not essential •Must have an active NMC registration •Must have a clear CRB We are keen to speak with all Registered General Nurses in the Southampton area of Hampshire to work in this lovely service The salary is **** per hour on a 36 hour week so you will earn circa **** as a full time staff nurse in this Acquired Brain Injury Service in Southampton, Hampshire For more information on this nursing role please contact Becky at Eclypse Recruitment today",rgn staff nurs southampton,"regist gener nurs for acquir brain injuri servic southampton , hampshir * * * * per hour * * * * 6 hour per week day shift eclyps recruit is current look to recruit a full time rgn for a small acquir brain injuri nurs home in southampton , hampshir . the nurs home cater for a rang of relat abi condit and the servic promot a real multidisciplinari approach employ staff nurs , physiotherapist & specialist therapist & carer to realli enhanc the level of care in the servic . we are look for a full time regist gener nurs to join the servic to work full time on day shift . you will be work long shift and we need a nurs to work 3 long day a week . we are look for a staff nurs who ha the follow skill and experi : •a minimum of 12 month post regist experi •a desir to work with adult who suffer from acquir brain injuri •ideal some previou experi work with abi , although thi is not essenti •must have an activ nmc registr •must have a clear crb we are keen to speak with all regist gener nurs in the southampton area of hampshir to work in thi love servic the salari is * * * * per hour on a 36 hour week so you will earn circa * * * * as a full time staff nurs in thi acquir brain injuri servic in southampton , hampshir for more inform on thi nurs role pleas contact becki at eclyps recruit today"
54.0,Healthcare_Nursing,Clinical Nurse Manager,71903513,Outcomes UK Ltd,"A vacancy has arisen for an experienced Clinical Nurse Manager to work for an independent organisation based in Northamptonshire. The organisation offer community based support to service users with a range of needs including palliative care, physical disabilities, acquired brain injuries and children's services. The main purpose of this role is the management for the day to day provision of nursing services. To lead and provide oversight management of the delivery of nursing services within the contracts and services, ensuring staff operate in accordance with the company policies and procedures. Management of the quality of outcomes for the care packages delivered throughout the community or domiciliary setting. You must have experience of working with inter agency services for vulnerable adults and children and extensive experience of assessing and providing care to people with complex needs and long term conditions. You must also have a professional qualification such as a registered Nurse (RN) or a Registered Children's Nurse (RSCN) ideally with a minimum of 1 years community or social experience. Preferably a recognised qualification in management (NVQ4) and/or a Teaching qualification such as PTTLS or C&G **** It is essential that you are a driver and ideally a car owner. The role will require some national travel and possibly some unsociable working hours. The role comes with an excellent salary of up to ****  **** pa dependent on experience as well as a range of benefits. 24 hours per week (Monday to Friday) Work base: Kettering  Head Office. Visa Required: Applicants must be eligible to work in the specified location",clinic nurs manag,"a vacanc ha arisen for an experienc clinic nurs manag to work for an independ organis base in northamptonshir . the organis offer commun base support to servic user with a rang of need includ palli care , physic disabl , acquir brain injuri and children 's servic . the main purpos of thi role is the manag for the day to day provis of nurs servic . to lead and provid oversight manag of the deliveri of nurs servic within the contract and servic , ensur staff oper in accord with the compani polici and procedur . manag of the qualiti of outcom for the care packag deliv throughout the commun or domiciliari set . you must have experi of work with inter agenc servic for vulner adult and children and extens experi of assess and provid care to peopl with complex need and long term condit . you must also have a profession qualif such as a regist nurs ( rn ) or a regist children 's nurs ( rscn ) ideal with a minimum of 1 year commun or social experi . prefer a recognis qualif in manag ( nvq4 ) and/or a teach qualif such as pttl or c & g * * * * it is essenti that you are a driver and ideal a car owner . the role will requir some nation travel and possibl some unsoci work hour . the role come with an excel salari of up to * * * * * * * * pa depend on experi as well as a rang of benefit . 24 hour per week ( monday to friday ) work base : ketter head offic . visa requir : applic must be elig to work in the specifi locat"
55.0,Healthcare_Nursing,Agency Healthcare Assistants Ormskirk Burscough Skelmersdale Southport,46627840,,,agenc healthcar assist ormskirk burscough skelmersdal southport,
56.0,Healthcare_Nursing,RGN  C****ph  Preston  ****hours  Preston,68720237,Populus Healthcare,General Nurse  RGN  ****ph  Bamber Bridge  ****hours A fantastic opportunity has arisen for a general nurse to be part of a great team within a medium side nursing home. You will be working with Elderly residents. You will need to be a team player and be able to work and carry out duties on your own. They are looking for a dedicated member of staff that is reliable has great communication skills and will care for residents in a polite and patient manner at all times. Job essentials • Must be RGN Qualified • Must be aware of care standards • Great communication skills • Administering medication day to day basis • Keeping care plans up to date and fully documented • General day to day monitoring of the residents • Reliable and honest To apply or enquire please call Jacob Harman at Populus Consultants,rgn c * * * * ph preston * * * * hour preston,gener nurs rgn * * * * ph bamber bridg * * * * hour a fantast opportun ha arisen for a gener nurs to be part of a great team within a medium side nurs home . you will be work with elderli resid . you will need to be a team player and be abl to work and carri out duti on your own . they are look for a dedic member of staff that is reliabl ha great commun skill and will care for resid in a polit and patient manner at all time . job essenti • must be rgn qualifi • must be awar of care standard • great commun skill • administ medic day to day basi • keep care plan up to date and fulli document • gener day to day monitor of the resid • reliabl and honest to appli or enquir pleas call jacob harman at populu consult
57.0,Healthcare_Nursing,Band 7 Bed Manager  **** 12 Month contracts Slough,72609667,Pulse Perms Regions,"A leading NHS hospital are seeking 6 Bed Managers to work on a range of fixed term contracts in Berkshire. This ls NHS Foundation Trust provides hospital services to a large and diverse population of more than **** which includes Ascot, Bracknell, Maidenhead, Slough, south Buckinghamshire and Windsor. You will be self motivated and experienced Band 6 or 7. This supportive clinical environment, combined with a nursing team committed to high clinical standards, makes us a compelling career option for an ambitious nurse. An exciting Opportunity has arisen for a dynamic individual to join the Trust on a variety of fixed term contracts ****  12 months. Candidates should be registered nurses with previous experience at Band 6 or above. The post holder will be able to demonstrate skills gained in respect of staff utilisation, bed management, both clinical and non clinical emergencies and any other issues as they arise. This role requires close working relationship with all levels of the multidisciplinary team across all areas of the hospital. You will be responsible for the efficient and effective management of the patients journey through the hospital as well as their safe placement in the correct area on a daily basis. The successful candidate will posses excellent interpersonal and communication skills. An ability to remain calm and composed, even under pressure is a must. Experience of working in a busy environment and with minimal supervision is essential. Each we year we see approximately: ****2,707 day cases and elective inpatients **** emergency inpatients **** births **** A E attendances **** new outpatient appointments **** outpatient followup appointments **** procedures performed More than **** patient contacts We were recently awarded with a CHKS Top 40 Hospitals award covering safety, clinical effectiveness, health outcomes, efficiency, patient experience and quality of care. Salary will be band 7  upto **** (pro rata for fixed term contracts) For more information or to apply, please call Daniella on **** **** **** or respond to this advert with an up to date copy of your CV.",band 7 bed manag * * * * 12 month contract slough,"a lead nh hospit are seek 6 bed manag to work on a rang of fix term contract in berkshir . thi ls nh foundat trust provid hospit servic to a larg and divers popul of more than * * * * which includ ascot , bracknel , maidenhead , slough , south buckinghamshir and windsor . you will be self motiv and experienc band 6 or 7 . thi support clinic environ , combin with a nurs team commit to high clinic standard , make us a compel career option for an ambiti nurs . an excit opportun ha arisen for a dynam individu to join the trust on a varieti of fix term contract * * * * 12 month . candid should be regist nurs with previou experi at band 6 or abov . the post holder will be abl to demonstr skill gain in respect of staff utilis , bed manag , both clinic and non clinic emerg and ani other issu as they aris . thi role requir close work relationship with all level of the multidisciplinari team across all area of the hospit . you will be respons for the effici and effect manag of the patient journey through the hospit as well as their safe placement in the correct area on a daili basi . the success candid will poss excel interperson and commun skill . an abil to remain calm and compos , even under pressur is a must . experi of work in a busi environ and with minim supervis is essenti . each we year we see approxim : * * * * 2,707 day case and elect inpati * * * * emerg inpati * * * * birth * * * * a e attend * * * * new outpati appoint * * * * outpati followup appoint * * * * procedur perform more than * * * * patient contact we were recent award with a chk top 40 hospit award cover safeti , clinic effect , health outcom , effici , patient experi and qualiti of care . salari will be band 7 upto * * * * ( pro rata for fix term contract ) for more inform or to appli , pleas call daniella on * * * * * * * * * * * * or respond to thi advert with an up to date copi of your cv ."
58.0,Healthcare_Nursing,Doctor : GP Locum in South London  Short Term Locum,66578075,,,doctor : gp locum in south london short term locum,
59.0,Healthcare_Nursing,Territory Sales Manager: South West / Interventional Radiology,71109791,,,territori sale manag : south west / intervent radiolog,
60.0,Healthcare_Nursing,Registered Nurse,69987622,Careerline,"Our client is a Grand Victorian country house with magnificent views, now a residence for the elderly, in **** acres of grounds, yet situated in the heart of Plymouth. The home provides the highest standards of elderly care for up to **** and **** sheltered apartments. An exciting opportunity has arisen for an experienced RN with up to date clinical skills to join the established and professional nursing team. A competitive rate of pay, excellent working conditions and genuine career development opportunities are on offer commensurate with this key position within this highly regarded charitable home. Job Duties for Registered General Nurse (RGN):  Registered Nurse (RGN) will be responsible for administration of medication  Supervision of Care Assistants and Senior Care Assistants  Writing and updating care plans  Review and audit of care plans and risk assessments  General nursing care such as wound dressing and personal care The successful Registered General Nurse (RGN) must have:  A relevant Nursing qualification  Valid NMC PIN  A proven clinical track record  Knowledgeable of the statutory requirements associated with care of the elderly  Excellent communication and time management skills  A strong customer focus  A flexible approach to working hours",regist nurs,"our client is a grand victorian countri hous with magnific view , now a resid for the elderli , in * * * * acr of ground , yet situat in the heart of plymouth . the home provid the highest standard of elderli care for up to * * * * and * * * * shelter apart . an excit opportun ha arisen for an experienc rn with up to date clinic skill to join the establish and profession nurs team . a competit rate of pay , excel work condit and genuin career develop opportun are on offer commensur with thi key posit within thi highli regard charit home . job duti for regist gener nurs ( rgn ) : regist nurs ( rgn ) will be respons for administr of medic supervis of care assist and senior care assist write and updat care plan review and audit of care plan and risk assess gener nurs care such as wound dress and person care the success regist gener nurs ( rgn ) must have : a relev nurs qualif valid nmc pin a proven clinic track record knowledg of the statutori requir associ with care of the elderli excel commun and time manag skill a strong custom focu a flexibl approach to work hour"
61.0,Healthcare_Nursing,RMN (RNLD),70232739,UKStaffsearch,"To be considered for the position you must be a Registered Nurse (RN), compliant with the UKCC Regulations and Registration. We welcome applications from RNs from both Mental Health and Learning Disabilities specialties of the NMC. Hours of work  **** hours over 7 days  shift patterns include days, weekends and nights Start times: 8.00am  8.15pm/8.00pm 8.15am We currently have positions for Registered Nurses in our services. Nurses must work according to NMC guidelines and are expected to assess, plan, implement and evaluate care without direct supervision and to participate fully in delivering a sensitive, efficient care service to all patients. As a Registered Nurse your role will primarily be to carry out the following: Provide quality care using the Multidisciplinary Care Programme Approach. Apply research based knowledge and appropriate models of patient care as a member of both a Multidisciplinary and the nursing team. Apply research based knowledge and appropriate models of nurse/patient intervention and maintain confidentiality regarding residents and staff. Ensure that care is provided within an environment which positively integrates race, gender, disability, religion and sexual orientation and meets individual needs. Ensure that the patients are involved as fully as possible in decisions affecting them and the running of the units, and to maximize their independence. Take charge in the absence of the Clinical Nurse Leader. Supervise the care given by junior staff, i.e., Nurse Support Workers and be able to lead a shift. Contribute actively to an effective learning environment and lead audits. To be responsible for the guidance and support of support workers, identify training needs and assist with appraisals for support workers. To represent the hospital in a positive and professional manner within the units and externally as required at meetings and other forums. Work and communicate effectively with nursing and Multidisciplinary colleagues within the units, the Company and externally. To maintain a safe environment for staff and patients at all times Be aware of, and adhere to, current legislation regarding Health and Safety at Work.",rmn ( rnld ),"to be consid for the posit you must be a regist nurs ( rn ) , compliant with the ukcc regul and registr . we welcom applic from rn from both mental health and learn disabl specialti of the nmc . hour of work * * * * hour over 7 day shift pattern includ day , weekend and night start time : 8.00am 8.15pm/8.00pm 8.15am we current have posit for regist nurs in our servic . nurs must work accord to nmc guidelin and are expect to assess , plan , implement and evalu care without direct supervis and to particip fulli in deliv a sensit , effici care servic to all patient . as a regist nurs your role will primarili be to carri out the follow : provid qualiti care use the multidisciplinari care programm approach . appli research base knowledg and appropri model of patient care as a member of both a multidisciplinari and the nurs team . appli research base knowledg and appropri model of nurse/pati intervent and maintain confidenti regard resid and staff . ensur that care is provid within an environ which posit integr race , gender , disabl , religion and sexual orient and meet individu need . ensur that the patient are involv as fulli as possibl in decis affect them and the run of the unit , and to maxim their independ . take charg in the absenc of the clinic nurs leader . supervis the care given by junior staff , i.e. , nurs support worker and be abl to lead a shift . contribut activ to an effect learn environ and lead audit . to be respons for the guidanc and support of support worker , identifi train need and assist with apprais for support worker . to repres the hospit in a posit and profession manner within the unit and extern as requir at meet and other forum . work and commun effect with nurs and multidisciplinari colleagu within the unit , the compani and extern . to maintain a safe environ for staff and patient at all time be awar of , and adher to , current legisl regard health and safeti at work ."
